surgeonid,name,email,specialtyname
1,Dr. Emily Brown,ebrown@hospital.com,General Neurosurgery
2,Dr. Michael Green,mgreen@hospital.com,Pediatric Neurosurgery
3,Dr. Sarah White,swhite@hospital.com,Neuro-Oncology
4,Dr. David Lee,dlee@hospital.com,Spine Surgery
5,Dr. Rachel Clark,rclark@hospital.com,Endovascular Neurosurgery
6,Dr. Andrew Martinez,amartinez@hospital.com,Functional Neurosurgery
7,Dr. Nicole Miller,adamssherry@example.com,Pediatric Neurosurgery
8,Dr. Brianna Riley,miguelfisher@example.org,Functional Neurosurgery
9,Dr. Sara Sweeney,elizabethhoward@example.org,Endovascular Neurosurgery
10,Dr. Ashley Oconnor,scott13@example.net,Spine Surgery
11,Dr. Richard Howard,thomas29@example.net,Spine Surgery
12,Dr. Troy Collins,kelly04@example.org,Functional Neurosurgery
13,Dr. Jacob Hanson,lwright@example.org,Neuro-Oncology
14,Dr. Hannah Boyle,gwilson@example.com,General Neurosurgery
15,Dr. Michaela Smith,apena@example.org,Neuro-Oncology
16,Dr. Michael Martinez,pamelabennett@example.net,Functional Neurosurgery
17,Dr. Casey Johnson DDS,nwright@example.org,Functional Neurosurgery
18,Dr. Ryan Ortiz,michaelboone@example.com,General Neurosurgery
19,Dr. Julie Neal,olsondenise@example.net,Endovascular Neurosurgery
20,Dr. Joshua Lee,lriley@example.com,Functional Neurosurgery
21,Dr. Linda Bradley,patrick27@example.org,Pediatric Neurosurgery
22,Dr. Alice Boone,alvarezmelody@example.net,Endovascular Neurosurgery
23,Dr. Jennifer Love,arodriguez@example.com,Spine Surgery
24,Dr. Nicholas Davis,bking@example.net,Pediatric Neurosurgery
25,Dr. Alan Berger,heather55@example.net,Endovascular Neurosurgery
26,Dr. Daniel Mcgee,lisa63@example.com,Spine Surgery
27,Dr. Kristen Garner MD,nicole70@example.net,Spine Surgery
28,Dr. Joshua Walker,jose42@example.net,Functional Neurosurgery
29,Dr. Joanna Diaz,qwilliams@example.com,Neuro-Oncology
30,Dr. James Reyes,cstephens@example.com,Pediatric Neurosurgery
31,Dr. Kelly Williams,pmartinez@example.org,Pediatric Neurosurgery
32,Dr. Jacqueline Perkins,paynekristen@example.org,Endovascular Neurosurgery
33,Dr. Toni Ayala,ryandeborah@example.com,Neuro-Oncology
34,Dr. James Riggs,marissa05@example.com,General Neurosurgery
35,Dr. Leslie Martin,richard33@example.org,General Neurosurgery
36,Dr. Tamara Brown,whitekatie@example.com,Functional Neurosurgery
37,Dr. Edward Sutton,operry@example.com,General Neurosurgery
38,Dr. Keith Miller,smithshawn@example.com,General Neurosurgery
39,Dr. Robert Ramirez,cterrell@example.com,Endovascular Neurosurgery
40,Dr. Randy Kennedy,wilsonangela@example.com,Spine Surgery
41,Dr. Daniel Young,robertrich@example.com,Neuro-Oncology
